term,description
Herzlich (нем. хэрцлих),"сердечно, искренне"
Hesitant (фр. эзитáн),"нерешительно, колеблясь"
"Heterophonie (фр. этерофони), Heterophonie (нем. хэтэрофони), Heterophony (англ. хэтэрофони)",гетерофония
Heuchlerisch (нем. хóйхлериш),"притворно, лицемерно"
Heulend (нем. хóйленд),завывая [Р. Штраус. «Саломея»]
Heurte et violent (фр. эртэ э виолáн),"напористо, неистово"
Hexachordum (греч.,лат. хексахóрдум) - гексахорд - последовательность из 6 ступень диатонической гаммы
Hier (нем. хир),"здесь, тут; von hier an (фон хир ан) – отсюда"
Highest note of instrument (англ. хáйэст нóут ов инструмэнт),самый высокий звук инструмента [Пендерецкий]
Hi,hat (англ. хай-хэт) - педальные тарелки
Hilfsnote (нем. хильфснóтэ),вспомогательная нота
Hinaufgestimmt (нем. хинáуфгештимт),"настроенный (ая) выше [скрипка, струна и т. д.]"
Hinaufziehen (нем. хинáуфциэн),скользить вверх (портаменто на струнных) [Малер. Симфония № 2]
Hinter der Szene (нем. хинтэр дэр сцэнэ),за сценой
Hinunterziehen (нем. хинунтэрциэн),скользить вниз
Hirtenhorn (нем. хиртэнхорн),пастушеский рог
Hirtenlied (хиртэнлид),песнь пастуха
Historia sacra (лат. хистóриа сáкра),оратория на религиозный сюжет
Hit (англ. хит),"шлягер, популярная песенка; буквально, успех"
Hoboe (нем. хобóэ),гобой
Hochet (фр. ошэ),трещотка (ударный инструмент)
Hochst (нем. хёхст),1) чрезвычайно; весьма; 2) наивысший
Hochste Kraft (хёхстэ крафт),с наибольшей силой
Hohe des Tones (нем. хёэ дэс тóнэс),высота тона
Hohepunkt (нем. хёэпункт),"кульминация, высшая точка"
Hohe Stimmen (нем. хоэ штиммэн),высокие голоса
Hohlflöte (нем. хóльфлётэ),один из регистров органа
"Holz (нем. хольц), Holzblaser (хольцблэзэр), Holzblasinstrumente (хóльцблязинструмэнтэ)",деревянный духовой инструмент
Holzblock (нем. хóльцблок),деревянная коробочка (ударный инструмент)
Holzharmonika (нем. хольцхармóника),"старин, назв. ксилофона"
Holzschlagel (нем. хóльцшлёгель),деревянная колотушка; mit Holzschlägel (мит хóльцшлёгель) - [играть] деревянной колотушкой
Holztrompete (нем. хóльцтромпэтэ),"1) деревянная труба; 2) вид альпийского рожка; 3) духовой инструмент, изготовленный по указ. Вагнера для оперы «Тристан и Изольда»"
Hommage (фр. оммáж),посвящение
"Homophonie (фр. омофони), Homophonie (нем. хомофони), Homophony (англ. хóмэфони)",гомофония
"Hoquet (фр. окэ), Hoquetus (поздне","лат. хоквэтус) - гокет - средневековый музыкальный жанр шуточного характера; буквально, заикание"
